Date;Median daily temp
2020-03-03;3.7
2020-03-04;1.8
2020-03-05;0.6
2020-03-06;-1.8
2020-03-07;-1.6
2020-03-08;4.5
2020-03-09;6.6
2020-03-10;4.8
2020-03-11;5.3
2020-03-12;4.3
2020-03-13;2.0
2020-03-14;-0.6
2020-03-15;3.5
2020-03-16;4.0
2020-03-17;5.4
2020-03-18;5.7
2020-03-19;5.1
2020-03-20;1.4
2020-03-21;0.3
2020-03-22;-0.9
2020-03-23;2.7
2020-03-24;4.7
2020-03-25;6.9
2020-03-26;6.7
2020-03-27;5.0
2020-03-28;5.0
2020-03-29;1.6
2020-03-30;0.4
2020-03-31;3.1
2020-04-01;5.7
2020-04-02;3.3
2020-04-03;3.1
2020-04-04;2.6
2020-04-05;4.5
2020-04-06;8.7
2020-04-07;7.4
2020-04-08;8.8
2020-04-09;7.6
2020-04-10;6.5
2020-04-11;4.7
2020-04-12;8.0
2020-04-13;4.3
2020-04-14;5.0
2020-04-15;9.9
2020-04-16;8.2
2020-04-17;6.5
2020-04-18;6.2
2020-04-19;9.3
2020-04-20;11.1
2020-04-21;11.5
2020-04-22;12.3
2020-04-23;13.4
2020-04-24;9.3
2020-04-25;8.6
2020-04-26;8.1
2020-04-27;4.5
2020-04-28;2.8
2020-04-29;3.5
2020-04-30;6.3
2020-05-01;6.8
2020-05-02;9.4
2020-05-03;9.1
2020-05-04;5.9
2020-05-05;8.8
2020-05-06;9.7
2020-05-07;9.3
2020-05-08;10.5
2020-05-09;9.7
2020-05-10;6.4
2020-05-11;4.7
2020-05-12;5.1
2020-05-13;4.8
2020-05-14;4.6
2020-05-15;7.0
2020-05-16;7.7
2020-05-17;8.6
2020-05-18;9.1
2020-05-19;8.7
2020-05-20;8.4
2020-05-21;11.3
2020-05-22;12.3
2020-05-23;10.6
2020-05-24;11.4
2020-05-25;13.7
2020-05-26;15.7
2020-05-27;14.5
2020-05-28;11.8
2020-05-29;13.7
2020-05-30;13.0
2020-05-31;15.8
2020-06-01;18.4
2020-06-02;17.5
2020-06-03;13.4
2020-06-04;13.9
2020-06-05;13.8
2020-06-06;13.5
2020-06-07;14.7
2020-06-08;16.0
2020-06-09;13.6
2020-06-10;16.7
2020-06-11;17.5
2020-06-12;18.4
2020-06-13;18.4
2020-06-14;18.6
2020-06-15;19.8
2020-06-16;16.8
2020-06-17;15.2
2020-06-18;17.7
2020-06-19;22.0
2020-06-20;20.8
2020-06-21;19.7
2020-06-22;18.2
2020-06-23;19.1
2020-06-24;23.1
2020-06-25;24.1
2020-06-26;23.3
2020-06-27;24.0
2020-06-28;22.1
2020-06-29;20.1
2020-06-30;17.4
2020-07-01;16.2
2020-07-02;16.6
2020-07-03;15.7
2020-07-04;14.7
2020-07-05;15.5
2020-07-06;14.3
2020-07-07;15.0
2020-07-08;12.0
2020-07-09;14.5
2020-07-10;14.5
2020-07-11;14.9
2020-07-12;14.3
2020-07-13;15.4
2020-07-14;16.0
2020-07-15;16.8
2020-07-16;17.8
2020-07-17;20.1
2020-07-18;19.2
2020-07-19;20.2
2020-07-20;18.9
2020-07-21;15.8
2020-07-22;14.8
2020-07-23;14.8
2020-07-24;15.2
2020-07-25;16.3
2020-07-26;17.3
2020-07-27;18.5
2020-07-28;16.6
2020-07-29;15.9
2020-07-30;16.1
2020-07-31;17.9
2020-08-01;19.5
2020-08-02;19.7
2020-08-03;17.9
2020-08-04;16.8
2020-08-05;16.0
2020-08-06;19.8
2020-08-07;21.8
2020-08-08;22.5
2020-08-09;20.1
2020-08-10;18.0
2020-08-11;17.5
2020-08-12;21.0
2020-08-13;19.5
2020-08-14;22.3
2020-08-15;23.2
2020-08-16;21.9
2020-08-17;20.9
2020-08-18;21.8
2020-08-19;19.8
2020-08-20;19.5
2020-08-21;18.7
2020-08-22;21.0
2020-08-23;18.1
2020-08-24;16.6
2020-08-25;14.6
2020-08-26;13.9
2020-08-27;13.6
2020-08-28;12.4
2020-08-29;12.5
2020-08-30;13.8
2020-08-31;11.3
2020-09-01;14.9
2020-09-02;12.9
2020-09-03;16.1
2020-09-04;16.2
2020-09-05;15.0
2020-09-06;13.8
2020-09-07;13.0
2020-09-08;15.0
2020-09-09;14.1
2020-09-10;11.1
2020-09-11;12.6
2020-09-12;13.5
2020-09-13;13.4
2020-09-14;15.8
2020-09-15;15.0
2020-09-16;13.1
2020-09-17;10.0
2020-09-18;12.7
2020-09-19;10.4
2020-09-20;8.5
2020-09-21;13.8
2020-09-22;13.5
2020-09-23;14.6
2020-09-24;14.8
2020-09-25;12.3
2020-09-26;13.5
2020-09-27;11.9
2020-09-28;11.6
2020-09-29;12.5
2020-09-30;12.7
2020-10-01;11.9
2020-10-02;13.9
2020-10-03;12.9
2020-10-04;13.5
2020-10-05;13.4
2020-10-06;12.2
2020-10-07;12.9
2020-10-08;12.3
2020-10-09;10.9
2020-10-10;8.3
2020-10-11;7.9
2020-10-12;7.4
2020-10-13;5.8
2020-10-14;6.1
2020-10-15;4.9
2020-10-16;5.8
2020-10-17;6.9
2020-10-18;4.1
2020-10-19;2.7
2020-10-20;3.1
2020-10-21;9.1
2020-10-22;11.0
2020-10-23;3.5
2020-10-24;2.3
2020-10-25;9.5
2020-10-26;9.7
2020-10-27;9.2
2020-10-28;8.4
2020-10-29;8.0
2020-10-30;4.3
2020-10-31;6.3
2020-11-01;9.7
2020-11-02;13.9
2020-11-03;10.2
2020-11-04;6.7
2020-11-05;8.1
2020-11-06;9.1
2020-11-07;9.2
2020-11-08;6.6
2020-11-09;6.2
2020-11-10;5.0
2020-11-11;7.0
2020-11-12;5.7
2020-11-13;6.8
2020-11-14;6.2
2020-11-15;7.7
2020-11-16;9.7
